北京新闻,{BEIJINGXW}
北京影视,{BEIJINGYS}
北京生活,{BEIJINGSH}
北京文艺,{BEIJINGWY}
北京财经,{BEIJINGCJ}
北京纪实科教,{BEIJINGKJ}
北京卡酷少儿,{BEIJINGSR}
20250509 09:21:46,https://gitee.com/kabigo/tv/raw/master/assets/about1080p.mp4
海峡卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
